en,sr,pos,description
account,налог,noun,
action,"радња, поступак, акција",noun,
activate,укључити,verb,"додатак или тему"
active,укључен/укључена/укључено,adjective,"додатак или тема"
"admin bar","управљачка трака",noun,
apply,применити,verb,
area,простор,noun,
array,низ,noun,
assign,доделити,verb,
attach,придружити,verb,"садржај чланку"
attachment,прилог,noun,
audio,"звучни запис",noun,
background,позадина,noun,
browser,прегледач,noun,"веба, датотека..."
bug,грешка,noun,
button,дугме,noun,
checkout,"потврда куповине",noun,
compatible,усклађен/усклађена/усклађено,adjective,
convert,претворити,verb,
create,направити,verb,
custom,прилагођен/прилагођена/прилагођено,adjective,
"custom post type","прилагођена врста чланка",noun,
customize,прилагодити,verb,
customizer,прилагођавач,noun,
database,"база података",noun,
deactivate,искључити,verb,"додатак или тему"
debug,"отклањање грешке",noun,
default,"подразумевано, уобичајено",adjective,
define,одредити,verb,
delete,избрисати,verb,
description,опис,noun,
develop,изградити,verb,
developer,градитељ,noun,
"distraction free writing","писање без ометања",expression,
download,преузети,verb,
draft,нацрт,noun,
"drag and drop","повуци и пусти",expression,
edit,уредити,verb,
editor,уређивач,noun,
email,е-пошта,noun,
embed,угнездити,verb,
error,грешка,noun,
excerpt,одломак,noun,
export,извести,verb,
feature,"особина, карактеристика, функционалност",noun,
featured,издвојен/издвојена/издвојено,adjective,
fee,"накнада, провизија",noun,
feed,довод,noun,
field,поље,noun,
file,датотека,noun,
"flat rate","фиксна цена",expression,
folder,фасцикла,noun,
footer,подножје,noun,
form,образац,noun,
format,облик,noun,
gateway,посредник,noun,"приликом плаћања"
header,заглавље,noun,
hook,копча,noun,
import,увести,verb,
insert,уметнути,verb,
install,поставити,verb,"додатак, тему или превод"
item,ставка,noun,
layout,распоред,noun,
link,веза,noun,
locale,локализација,noun,
maintain,одржавати,verb,
maintenance,одржавање,noun,
manage,управљати,verb,
manually,ручно/ручна/ручно,adjective,
maximum,највећи/највећа/највеће,adjective,
member,члан,noun,
menu,изборник,noun,
message,порука,noun,
minimize,умањити,verb,
minimum,најмањи/најмања/најмање,adjective,
mode,режим,noun,
navigation,кретање,noun,
notification,обавештење,noun,
option,"могућност, опција, избор",noun,
order,наруџбина,noun,
password,лозинка,noun,
path,путања,noun,
payment,плаћање,noun,
permalink,"стална веза",noun,
permission,дозвола,noun,
pingback,"повратна веза",noun,
plugin,додатак,noun,
"plugin directory","складиште додатака",noun,"на WordPress.org"
post,чланак,noun,
"post type","врста чланка",noun,
product,производ,noun,
publish,објавити,verb,
query,упит,noun,
rating,оцена,noun,
refund,повраћај,noun,новца
refund,повраћај,noun,новца
release,објава,noun,
relevance,релевантност,noun,
request,захтев,noun,
responsive,одговарајући/одговарајућа/одговарајуће,adjective,изглед
revisions,ревизије,noun,
role,улога,noun,
save,сачувати,verb,
screen,екран,noun,
search,претражити,verb,
search,претрага,noun,
section,одељак,noun,
security,"сигурност, безбедност",noun,
select,означити/одабрати,verb,"у зависности од смисла реченице"
setting,подешавање,noun,
share,поделити,verb,
sidebar,"бочна трака",noun,
SKU,"шифрa производа",noun,
slug,подложак,noun,
"Sorry, you are not allowed to ","Жао нам је, није вам дозвољено да ",expression,"почетак грешке"
spam,непожељно,noun,"коментар, корисник..."
status,стање,noun,
sticky,лепљив/лепљива/лепљиво,adjective,
stock,залиха,noun,
store,продавница,noun,"WooCommerce/e-Shop Store "
string,ниска,noun,
submit,предати,verb,
tag,ознака,noun,
tax,порез,noun,
"tax rates","пореске стопе",noun,
taxonomy,таксономија,noun,
template,шаблон,noun,
term,члан,noun,"део таксономије"
theme,тема,noun,
"theme directory","складиште тема",noun,"на WordPress.org"
title,наслов,noun,
tool,"алат, алатка",noun,
toolbar,"трака са алаткама",noun,
trackback,"повратна веза",noun,
transients,прелази,noun,
trash,отпад,noun,
update,ажурирање,noun,
upload,отпремити,verb,
uploader,отпремач,noun,
user,корисник,noun,
username,"корисничко име",noun,
version,издање,noun,
video,"видео запис",noun,
webhook,"веб копча",noun,
